1.42E+01,3.06E+00,5.64E+00,3.92E+00,1.07E+03,0
1.32E+01,2.76E+00,4.38E+00,3.40E+00,1.05E+03,0
1.32E+01,3.24E+00,5.68E+00,3.17E+00,1.19E+03,0
1.44E+01,3.49E+00,7.80E+00,3.45E+00,1.48E+03,0
1.32E+01,2.69E+00,4.32E+00,2.93E+00,7.35E+02,0
1.42E+01,3.39E+00,6.75E+00,2.85E+00,1.45E+03,0
1.44E+01,2.52E+00,5.25E+00,3.58E+00,1.29E+03,0
1.41E+01,2.51E+00,5.05E+00,3.58E+00,1.30E+03,0
1.48E+01,2.98E+00,5.20E+00,2.85E+00,1.05E+03,0
1.39E+01,3.15E+00,7.22E+00,3.55E+00,1.05E+03,0
1.41E+01,3.32E+00,5.75E+00,3.17E+00,1.51E+03,0
1.41E+01,2.43E+00,5.00E+00,2.82E+00,1.28E+03,0
1.38E+01,2.76E+00,5.60E+00,2.90E+00,1.32E+03,0
1.48E+01,3.69E+00,5.40E+00,2.73E+00,1.15E+03,0
1.44E+01,3.64E+00,7.50E+00,3.00E+00,1.55E+03,0
1.36E+01,2.91E+00,7.30E+00,2.88E+00,1.31E+03,0
1.43E+01,3.14E+00,6.20E+00,2.65E+00,1.28E+03,0
1.38E+01,3.40E+00,6.60E+00,2.57E+00,1.13E+03,0
1.42E+01,3.93E+00,8.70E+00,2.82E+00,1.68E+03,0
1.36E+01,3.03E+00,5.10E+00,3.36E+00,8.45E+02,0
1.41E+01,3.17E+00,5.65E+00,3.71E+00,7.80E+02,0
1.29E+01,2.41E+00,4.50E+00,3.52E+00,7.70E+02,0
1.37E+01,2.88E+00,3.80E+00,4.00E+00,1.04E+03,0
1.28E+01,2.37E+00,3.93E+00,3.63E+00,1.02E+03,0
1.35E+01,2.61E+00,3.52E+00,3.82E+00,8.45E+02,0
1.31E+01,2.68E+00,3.58E+00,3.20E+00,8.30E+02,0
1.34E+01,2.94E+00,4.80E+00,3.22E+00,1.20E+03,0
1.33E+01,2.19E+00,3.95E+00,2.77E+00,1.29E+03,0
1.39E+01,2.97E+00,4.50E+00,3.40E+00,9.15E+02,0
1.40E+01,2.33E+00,4.70E+00,3.59E+00,1.04E+03,0
1.37E+01,3.25E+00,5.70E+00,2.71E+00,1.29E+03,0
1.36E+01,3.19E+00,6.90E+00,2.88E+00,1.52E+03,0
1.37E+01,2.69E+00,3.84E+00,2.87E+00,9.90E+02,0
1.38E+01,2.74E+00,5.40E+00,3.00E+00,1.24E+03,0
